Track_ID,Track_Name,Track_Artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
72EzFi8h1H2MImmS2ZoSTr,DIS-MOI (feat. SDM),"['Guy2Bezbar', 'SDM']",0.727,0.66,2,-5.84,0,0.0655,0.221,2.35e-05,0.0896,0.83,74.977,175947,4
3JvKfv6T31zO0ini8iNItO,Another Love,['Tom Odell'],0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360,4
0i9RysNKssk6syOrKDX3U2,FLEURS (feat. Tiakola),"['Gazo', 'Tiakola']",0.673,0.636,10,-7.431,1,0.0771,0.268,0.0,0.108,0.438,127.021,210933,4
7EO5oDxrq2dvYDgBjFvFYY,LA RUE,"['No Limit', 'Gazo', 'Damso']",0.713,0.59,2,-8.651,0,0.196,0.348,1.99e-06,0.123,0.578,138.065,225137,4
3kzXT2poHInDISrXOgT1PR,Solitaire,['Werenoi'],0.753,0.717,1,-8.438,0,0.0384,0.151,0.00258,0.0988,0.601,117.952,146441,4
17phhZDn6oGtzMe56NuWvj,Lose Control,['Teddy Swims'],0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,210689,3
7d391WfC0HtftRcetDFQUy,Nouvelles,['PLK'],0.536,0.655,11,-7.636,0,0.22,0.011,0.000498,0.106,0.434,196.007,179653,4
3D29kjUyWxsT3jUUTtARVQ,DIE,['Gazo'],0.695,0.63,8,-7.16,0,0.035,0.229,0.0,0.118,0.55,130.968,240413,4
7A2DyRIqqelhZ4caPJMaFI,Urus,['Favé'],0.71,0.712,11,-7.436,0,0.3,0.0297,0.00138,0.0975,0.596,162.106,147788,4
656vbT8JKkVx7g1yG12L89,Avec Toi,['OBOY'],0.661,0.666,10,-5.932,0,0.0277,0.457,0.0,0.13,0.381,92.475,193813,4
22dUzMFttcR3uU17NcOAIv,Desire (with Sam Smith),"['Calvin Harris', 'Sam Smith']",0.587,0.924,11,-5.433,0,0.0457,0.0311,0.0171,0.23,0.509,140.009,179162,4
1HCbElP3lfeVIjHvANkroy,CODE BARRE,['Lacrim'],0.524,0.846,11,-7.874,0,0.811,0.336,0.0,0.0924,0.51,79.301,241480,1
7tChNCtleS9bUPD4uDXvJf,Le feu,"['Kendji Girac', 'Vianney']",0.667,0.746,1,-4.175,1,0.0451,0.261,0.0,0.0566,0.549,88.038,237160,4
66TAAKeoOD0cFpVRug9IXZ,Demain,['PLK'],0.726,0.675,1,-8.251,1,0.16,0.272,0.0,0.121,0.846,137.954,183013,4
07fbDnkKdZGk1gLvknxrns,RUNAWAY,['OneRepublic'],0.624,0.684,3,-5.507,0,0.0513,0.0336,0.0,0.0771,0.75,163.033,143265,4
22skzmqfdWrjJylampe0kt,Can't Hold Us (feat. Ray Dalton),"['Macklemore & Ryan Lewis', 'Macklemore', 'Ryan Lewis', 'Ray Dalton']",0.633,0.927,2,-4.468,1,0.0839,0.0267,0.0,0.0986,0.88,146.097,258432,4
