Track_ID,Track_Name,Track_Artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2trqztH7oPUwOKMf8FqfvV,Трезво,"['Aarne', 'Дора']",0.82,0.676,5,-6.109,1,0.102,0.36,0.0,0.101,0.465,86.978,146207,4
56M02RKrZbpeMnTWcm6P0y,Интеллигент,['Xassa'],0.709,0.565,4,-5.008,0,0.306,0.24,1.73e-05,0.263,0.557,77.506,176727,4
0ndWY0kASiq9s2Fx76W4Jq,ASPHALT 8,['MACAN'],0.904,0.834,11,-4.927,0,0.162,0.373,1.04e-06,0.0857,0.731,124.004,135570,4
12ZQQOVtIw6lwLsNiUTxk6,M11,"['Big Baby Tape', 'ALBLAK 52']",0.836,0.751,0,-6.161,1,0.152,0.0318,0.0,0.0987,0.661,89.981,157333,4
6BuCMYELvszPH4LcD3LRGQ,Космически,['ANNA ASTI'],0.733,0.842,10,-6.049,0,0.0755,0.184,1.22e-05,0.113,0.393,117.001,208205,4
5oRa6OeJGfi01blkO2WSWl,Мания,['Xolidayboy'],0.707,0.679,2,-5.864,1,0.0378,0.0138,0.0,0.28,0.17,76.985,191202,4
4RARkHhFbZFR7A2C5ySla2,Листопадом,['Gio Pika'],0.603,0.821,11,-3.721,0,0.373,0.163,0.0,0.586,0.526,176.015,206099,4
6zritCc7ApFbWWqrCAMbd6,По сути,['JANAGA'],0.722,0.601,11,-7.198,0,0.0329,0.464,1.55e-05,0.115,0.231,89.996,142750,4
25WBEwXSQw6OWlnXADVHut,Целовала,['Bakhtin'],0.813,0.723,7,-5.04,1,0.0332,0.16,4.25e-06,0.32,0.305,105.034,173712,4
5Q2loU681vlsPwmLb6rIeZ,Деньги и Москва,['SCIRENA'],0.849,0.707,10,-4.405,0,0.128,0.214,0.0,0.0502,0.851,98.01,145561,4
6fh4fqksc2OIqBZVihYee5,Красные розы,['АлСми'],0.833,0.777,6,-4.566,0,0.036,0.278,0.00195,0.0797,0.801,127.001,168324,4
04Rp6XjTowBcL7gIbJf7uc,ВМЕСТЕ,"['Aarne', 'BUSHIDO ZHO']",0.772,0.785,0,-6.382,1,0.0543,0.368,0.000606,0.202,0.428,143.91,133542,4
6Q7fqqFDku01DF6JIAFRvS,Громко играй аппаратура,['Ислам Итляшев'],0.536,0.908,0,-3.904,0,0.117,0.159,0.0,0.129,0.802,199.937,175200,4
7sEh4k8OdFJz9DF9JwAFWy,Станция,"['Smoky Mo', 'GUF', 'DJ Cave', 'Lil Kate']",0.74,0.63,11,-4.431,0,0.284,0.1,0.0,0.204,0.569,79.93,198000,4
3sKUGpRAia7FoTxwkGSXtI,Сердце,['WHITE GALLOWS'],0.719,0.578,3,-6.695,0,0.0966,0.514,0.0,0.0864,0.85,146.005,132277,4
6YbjKKP2EfCC8H8OYmERMV,Catch Me,"['ebert', 'wagna']",0.735,0.402,6,-11.798,0,0.662,0.199,0.0,0.087,0.297,97.614,149401,4
